postcode,Municipality,Région name (French),Province name,Official language or language combination
1000,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1000,Saint-Josse-ten-Noode,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1000,Ixelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1005,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1006,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1007,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1008,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1009,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1011,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1012,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1020,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1030,Schaerbeek,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1031,Schaerbeek,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1033,Schaerbeek,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1035,Schaerbeek,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1040,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1040,Etterbeek,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1041,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1043,Schaerbeek,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1044,Schaerbeek,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1046,Evere,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1047,Ixelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1048,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1049,Evere,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1050,Ixelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1050,Saint-Gilles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1060,Saint-Gilles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1070,Anderlecht,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1080,Molenbeek-Saint-Jean,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1081,Koekelberg,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1082,Berchem-Sainte-Agathe,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1083,Ganshoren,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1090,Jette,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1099,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1105,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1110,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1120,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1130,Bruxelles,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1140,Evere,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1150,Woluwe-Saint-Pierre,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1160,Auderghem,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1170,Watermael-Boitsfort,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1180,Uccle,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
1190,Forest,Région de Bruxelles-Capitale,Région de Bruxelles-Capitale,NL-FR
